name,city,state,latitude,longitude,rating,types,working_hours,photo_1,photo_2,photo_3,photo_4,photo_5,photo_6,photo_7,photo_8
Mat Franco,Miami Beach,FL,36.1181779,-115.1713151,4.8,Magician; Entertainer,,https://lh5.googleusercontent.com/p/AF1QipPBaH2cfaxP-UQZzYEZjGaDFFWK5RuTKaNJhy2n=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipNg8oY8OzRoioCbRcl-O-yLsnL9_XsuUrRyhXuM=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOdwaSx33T6dG8GI2wEVT6Vk94KPjPqbbPPKMBl=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMXyVAaobANQzfv8QikQzr3X_EhgKqSh7ncTg_f=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN-G-X2woyqVOVKK9ZHN1K0v8S_WqbbNVL4b1MQ=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNhGcBdwCPMAN0oG3rXeyft_hE3GPZ8r4mb4ves=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipM2vS5pR37W0ZR2bK_xxENR6G8vkugA4bhK-0ql=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPWQpcxXGQLm9S1TE2tLITqMxzEK0vBRoRFjdaY=w203-h203-k-no
Mike Hammer,Miami,FL,36.1699667,-115.1437995,4.8,Comedy club; Magician,Tuesday: 7–8:30 PM; Wednesday: 7–8:30 PM; Thursday: 7–8:30 PM; Friday: 7–8:30 PM; Saturday: 7–8:30 PM; Sunday: Closed; Monday: Closed,https://lh5.googleusercontent.com/p/AF1QipOXL5YEW2hQzx3cyhQneikFEEkZQ-Ce08KVYPTB=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPcACyiw_0ydS7e66XTmYnD-gjZcUb76DESaqKz=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipML8eE3RdRse2Y8-ONhxbEVHMxhG68iSycrz03v=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOLbfO5btavm44yWvHDKP6KzonnLQrkFZO4BUup=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipM6nreTZF6zshb2oS4W8cuZMR2ighks3OMUfTiA=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPKkRs2dLBmK0E4QKEnDzvCbIlAIXWRORMia-gp=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOJho1U0K6UayGRskGjPQVLoeZROlbFulu9agF7=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOGGhlDL7olDSU1tQt9UTUuztwCHU7GP79BvcT-=w216-h100-k-no
Kent Axell,Miami,FL,36.1447962,-115.0737801,5,Magician; Entertainer,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPLcJc_kRHfKgr_utDNkoOM1PQNC0CaZHOao0io=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipMfnhIT245gqkRhcNrcIBL07SeYHlTnbtCCVw3c=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPJBg34GzJ6kaG3t6x9-x21tGQml1dzFp2I2XPF=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP7uUAsDlUqPWS-cl-Gl3aaQJNWnbX4uDGEnrSZ=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNyNMXB8FyXnw0PBm6hUasHEDTzEKw-h0feSbzY=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipNz8sjP4LIVI1D3rf7JkzV1MW3Sy2TjQrX1ZFgc=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMkwi8W_PQ5oJkiFgYbox4nsqDUFLp9gAHlMxKW=w203-h150-k-no,https://lh5.googleusercontent.com/p/AF1QipNIjCgjIlVr83YMu-LL_EqhiZmpyPN72hwjU-B6=w203-h114-k-no
Jen Kramer,Miami,FL,36.1351903,-115.1520157,4.5,Magician,Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 5–6:15 PM; Saturday: 5–6:15 PM; Sunday: 5–6:15 PM; Monday: Closed,https://lh5.googleusercontent.com/p/AF1QipOb3gvduxMf4l2wUHwoIfbr90S4q6-EjoNLgZeh=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipNEfXkYPqEMRcTJ9SC8XyHLdSYoE1rPjUbRG6IK=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPg8xOQDE1O9etjcdQuPoWNAGQOKqec2mMf4Nzr=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMIAHdbCLo9BQRvdQri936QSzoCrNUYT3wSlBXp=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipOIIaHxJ7JpfTJAMtVb9oNLWIiJjFMDR2v2sO_o=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOOALyySxEo6519xlfYga2DIxE8PX1pVGZpyybR=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipN0U2xUrG5_2vaRX_bRkg2Z5tLpsv5dATXwQoK2=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNw1sroqUvhTO79cNzmlMxSdjOhQeED6xdXL_Jr=w203-h152-k-no
Nathan Burton,Miami,FL,36.1044265,-115.1723385,4.8,Magician,Tuesday: 4–5:30 PM; Wednesday: 4–5:30 PM; Thursday: 4–5:30 PM; Friday: 4–5:30 PM; Saturday: 4–5:30 PM; Sunday: 4–5:30 PM; Monday: 4–5:30 PM,https://lh5.googleusercontent.com/p/AF1QipOgGJktC6BbD7sM_TfyLll6yzE2VeVhOz1RumDY=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMNsy9J7bFqq3SLp7JbA82wlaR2C5FB5P9FRt8f=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNcy0LUBaWIDz-xxxhd41ZXBcpztevB9GnZJ3Bj=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPO6Of7XncXeAWm1obU9txJJ-ubJ5OraLm9tZtR=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipO7bchbfFiGWdP_8HSBSTAiSxlJoE1ZGg9C4bjv=w203-h159-k-no,https://lh5.googleusercontent.com/p/AF1QipOTLoeFgRZo5bdTir4p0jdyRdzmiihVAQCS_qd2=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipOO_cyGTG9dhCrCjaFvELFDDBVafPiKSATYvPfV=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOqnVXOKRMEnQYCbI8HFlhowkKRhAivebYxTg2v=w203-h271-k-no
David Goldrake,Miami,FL,36.7262165,-96.8627496,4.9,Magician; Entertainer; Service establishment,,https://lh5.googleusercontent.com/p/AF1QipP2SrAxKdlgq8YGCVtusMcEQ0KoReGFN2iCF-70=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNgpFdUWjMRFtH79ezphzs6ZXXXU66MwjkYU830=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN1qZ6hiYT5r3lGr8R9_XTJq6mofpOOV7IgabiR=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOw0qDmqbLVw1FzrUrdGR7nztVpybCWCp8n3mr0=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOWWX2F4fllLPzdjEIJKMh3ACmyzVCs3mFVgLxW=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPhkDArwbbZrOOKnZDQx74XnCyoqW26xNRREcmT=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMPAmbepWN1XS8jfI0AcHBi2ePwl9lNNEJBElBg=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPobpHUp3OcnDu0gT7zl9im7lEktWzGhs1zOjjf=w203-h360-k-no
Seth Grabel,Miami,FL,36.0592771,-115.1716232,5,Entertainer,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPpSszHBpmXlYP-ErKoR3YesXDP-Hf7VXv6OnG1=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipP_cxVh-cEIMn_JSa5Tjv6Z6_0W2GMrb8TtG0Pq=w203-h131-k-no,https://lh5.googleusercontent.com/p/AF1QipOqW94jjol1ISgqt3MHsMrfw4iQ5xRCXqP2eX22=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOBDwVjDwlFig7zWLFwdAw_Hzn7vQ95tNZwcjqi=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipMjqfhwJKpZq_A1ILgTv35r55_pLT55qYiFKm6Z=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipM9DOx3QeYPhdYjnEvaVm6F5E5YRuvRAw1u5z7z=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipPOv5a5vx1uXsjx653cq6514UHaDwxZta5c_iTX=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipOt6EF1gCm8LzohPzpZFvukNc6gF-ThiBjpGJCb=w203-h304-k-no
McBride,Miami Beach,FL,36.0846691,-115.1069546,5,Magician; Private educational institution,Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours; Monday: Open 24 hours,https://lh5.googleusercontent.com/p/AF1QipPzGXrdT462LVaBFf1uFyZTq1zdugl6Myg771LD=w203-h271-k-no,https://lh5.googleusercontent.com/p/AF1QipOhSqy67-v2TwGUkfPjqGL_5X36KO2JUJXlpZ6l=w203-h282-k-no,https://lh5.googleusercontent.com/p/AF1QipNBq28NlrdT-Jn0CqMMUYe6DxCYUQ_31Mdt3YB0=w203-h137-k-no,https://lh5.googleusercontent.com/p/AF1QipMlB-d5PilztxxmCgm36QZxdPCmkfxnE6p4IOVO=w203-h270-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4ZYf1cnd8a7N7ZnErNPGRA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=334.94412&pitch=0&thumbfov=100,,,
Adam London,Miami,FL,36.1025498,-115.2016926,4.9,Magician; Bar; Children's party service; Entertainer; Event ticket seller; Event venue; Party planner,Tuesday: Closed; Wednesday: Closed; Thursday: 4–5 PM; Friday: 4–5 PM; Saturday: 4–5 PM; Sunday: 4–5 PM; Monday: 4–5 PM,https://lh5.googleusercontent.com/p/AF1QipOfl9gkMqiEeAuXfn_9vdCbPuSyKG0KsNRSUDvn=w203-h143-k-no,https://lh5.googleusercontent.com/p/AF1QipN8uPm9Bau-W7qTzI7gzlbE8faxH3_BgaetjFV3=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMYY4hBXiPwmSWe9m8VaIsX7AnDHrO4HKmglM9l=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipO-Sjbai61SRjxgb01RMD1cU8JbTzI2MvRFfhle=w207-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipN5NIHALoCT-CKo3HhZwOdWIk24VFnYimqaqu6k=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNr7fSro2DrAHSeCaCHJfAYDnxoD4aH-WJ8MnEL=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipM3aOTDni999XYjP88jjZLOHTzLFgRaMuY58bPo=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipNQ705Duv3BTumRvFLCUn-2qmOn4JZqQve1596o=w203-h152-k-no
James Michael,Miami,FL,36.147695,-115.156306,4.8,Magician,Tuesday: Closed; Wednesday: 6–7:30 PM; Thursday: 6–7:30 PM; Friday: 6–7:30 PM; Saturday: 6–7:30 PM; Sunday: 6–7:30 PM; Monday: 6–7:30 PM,https://lh5.googleusercontent.com/p/AF1QipOkTD7xRD436CVoq1wvAUTIt_GwqNsNYADNuzbz=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMYG0BDO4gIut5p0PeIPjNUmOaE7LzupFrJPVa0=w203-h428-k-no,https://lh5.googleusercontent.com/p/AF1QipMKu9NYs8xP_dcM5_88R4pVeuxPC6lhBEfpWcAl=w211-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipMyWYdksUYkhU5CEG0NZCe8rSvVgqypzjJHJdu4=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPbsJGkOsaGr-2KB5sV-VkBQh9dgCh6mq-pUpIZ=w203-h428-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c1_Lqme-JTn-QxqCqam22Q&cb_client=search.gws-prod.gps&w=203&h=100&yaw=351.16177&pitch=0&thumbfov=100,,
